500
1
4168
01110100000000000010011000000000001001110111000000000101001000011000011110100101000010000001000010011111101000011101010101111000000011111010101000000011001001011010110100111101111000011100000110001000
19
9
111
18, 3, 18, 2
18, 2, 17, 3
17, 3, 19, 3
19, 3, 19, 4
19, 4, 18, 1
18, 1, 17, 1
17, 1, 19, 1
19, 1, 16, 4
16, 4, 17, 5
17, 5, 19, 5
19, 5, 18, 0
18, 0, 18, 6
18, 6, 15, 2
15, 2, 15, 5
15, 5, 16, 6
16, 6, 14, 3
14, 3, 17, 7
17, 7, 19, 7
19, 7, 15, 6
15, 6, 14, 1
14, 1, 14, 6
14, 6, 15, 7
15, 7, 15, 6
15, 6, 14, 7
14, 7, 15, 8
15, 8, 14, 6
14, 6, 16, 6
16, 6, 16, 8
16, 8, 15, 5
15, 5, 17, 7
17, 7, 13, 6
13, 6, 13, 8
13, 8, 17, 8
17, 8, 16, 9
16, 9, 13, 5
13, 5, 17, 5
17, 5, 16, 4
16, 4, 12, 6
12, 6, 18, 6
18, 6, 12, 8
12, 8, 18, 8
18, 8, 12, 5
12, 5, 12, 9
12, 9, 11, 7
11, 7, 19, 7
19, 7, 14, 3
14, 3, 11, 8
11, 8, 17, 3
17, 3, 11, 5
11, 5, 19, 5
19, 5, 11, 9
11, 9, 15, 2
15, 2, 12, 3
12, 3, 11, 4
11, 4, 19, 4
19, 4, 10, 7
10, 7, 10, 8
10, 8, 13, 2
13, 2, 11, 3
11, 3, 19, 3
19, 3, 18, 2
18, 2, 14, 1
14, 1, 17, 1
17, 1, 10, 3
10, 3, 18, 1
18, 1, 19, 1
19, 1, 9, 3
9, 3, 18, 0
18, 0, 7, 8
7, 8, 6, 5
6, 5, 5, 6
5, 6, 4, 6
4, 6, 4, 5
4, 5, 6, 5
6, 5, 3, 6
3, 6, 5, 8
5, 8, 4, 4
4, 4, 3, 5
3, 5, 4, 8
4, 8, 3, 4
3, 4, 3, 3
3, 3, 4, 4
4, 4, 3, 5
3, 5, 4, 3
4, 3, 2, 5
2, 5, 4, 5
4, 5, 3, 2
3, 2, 1, 4
1, 4, 1, 5
1, 5, 0, 5
0, 5, 2, 5
2, 5, 1, 2
1, 2, 1, 6
1, 6, 2, 2
2, 2, 3, 3
3, 3, 2, 6
2, 6, 3, 2
3, 2, 3, 6
3, 6, 1, 1
1, 1, 2, 1
2, 1, 4, 3
4, 3, 0, 7
0, 7, 2, 7
2, 7, 4, 6
4, 6, 1, 0
1, 0, 2, 0
2, 0, 0, 8
0, 8, 2, 8
2, 8, 3, 0
3, 0, 5, 6
